Ai,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$
$A_{1}$,106.78,6.75,2.0,220.0,6.0,1.0,52.0,455.5,8.9,36.8
$A_{2}$,86.37,7.12,3.0,400.0,10.0,0.0,20.0,336.5,7.2,29.8
$A_{3}$,104.85,6.95,60.0,220.0,7.0,1.0,60.0,416.0,8.7,36.2
$A_{4}$,46.6,6.04,1.0,220.0,3.0,0.0,50.0,277.0,3.9,16.0
$A_{5}$,69.18,7.05,33.16,220.0,8.0,0.0,35.49,364.79,5.39,33.71
$A_{6}$,66.48,6.06,26.32,220.0,6.53,0.0,34.82,304.02,4.67,27.07
$A_{7}$,74.48,6.61,48.25,400.0,4.76,1.0,44.19,349.45,4.93,28.89
$A_{8}$,73.67,6.06,19.54,400.0,3.19,0.0,46.41,354.65,8.01,21.09
$A_{9}$,100.58,6.37,39.27,220.0,8.43,1.0,22.07,449.42,7.89,17.62
$A_{10}$,94.81,6.13,50.58,220.0,4.18,1.0,21.14,450.88,5.12,17.3
$A_{11}$,48.93,7.12,21.48,220.0,5.47,1.0,55.72,454.71,8.39,19.16
$A_{12}$,74.75,6.58,7.08,400.0,9.9,1.0,26.01,455.17,4.78,18.44
